"12-2021","Dezembro 2021",167210,20036
"02-2022","Fevereiro 2022",167210,30006
"01-2022","Janeiro 2022",167210,10012
"03-2022","Março 2022",175264,10024
"05-2022","Maio 2022",175264,10000
"04-2022","Abril 2022",175264,10018
"03-2021","Março 2021",140889,140
"05-2021","Maio 2021",140889,88
"04-2021","Abril 2021",140889,108
"05-2022","Maio 2022",175267,10024
"01-2022","Janeiro 2022",167174,10072
"02-2022","Fevereiro 2022",167174,30030
"03-2022","Março 2022",175228,10048
"05-2022","Maio 2022",175228,10002
"06-2022","Junho 2022",175228,22
"04-2022","Abril 2022",175228,10024
"12-2021","Dezembro 2021",167207,20138
"01-2022","Janeiro 2022",167207,10060
"02-2022","Fevereiro 2022",167207,30012
"03-2022","Março 2022",175259,10150
"04-2022","Abril 2022",175259,10108
"05-2022","Maio 2022",175259,10012
"06-2022","Junho 2022",175259,102
"12-2021","Dezembro 2021",167204,20072
"01-2022","Janeiro 2022",167204,10030
"02-2022","Fevereiro 2022",167204,30042
"03-2022","Março 2022",175256,10156
"05-2022","Maio 2022",175256,10000
"06-2022","Junho 2022",175256,42
"04-2022","Abril 2022",175256,10042
"12-2021","Dezembro 2021",167303,20348
"02-2022","Fevereiro 2022",167303,30084
"01-2022","Janeiro 2022",167303,10048
"12-2021","Dezembro 2021",167304,20144
"02-2022","Fevereiro 2022",167304,30024
"01-2022","Janeiro 2022",167304,10048
"12-2021","Dezembro 2021",165789,20378
"02-2022","Fevereiro 2022",165789,30090
"01-2022","Janeiro 2022",165789,10150
"12-2021","Dezembro 2021",165795,20300
"02-2022","Fevereiro 2022",165795,30048
"01-2022","Janeiro 2022",165795,10132
"12-2021","Dezembro 2021",167302,20120
"02-2022","Fevereiro 2022",167302,30024
"01-2022","Janeiro 2022",167302,10084
"03-2022","Março 2022",173405,10462
"05-2022","Maio 2022",173405,10000
"04-2022","Abril 2022",173405,10480
"05-2022","Maio 2022",173405,324
"03-2022","Março 2022",173411,10348
"05-2022","Maio 2022",173411,10000
"04-2022","Abril 2022",173411,10240
"05-2022","Maio 2022",173411,162
"03-2022","Março 2022",175347,10150
"05-2022","Maio 2022",175347,10012
"04-2022","Abril 2022",175347,10156
"06-2022","Junho 2022",175347,78
"12-2021","Dezembro 2021",165787,20570
"02-2022","Fevereiro 2022",165787,30096
"01-2022","Janeiro 2022",165787,10174
"12-2021","Dezembro 2021",165788,20630
"02-2022","Fevereiro 2022",165788,30072
"01-2022","Janeiro 2022",165788,10264
"12-2021","Dezembro 2021",167301,20258
"02-2022","Fevereiro 2022",167301,84
"01-2022","Janeiro 2022",167301,10096
"02-2022","Fevereiro 2022",167301,30024
"03-2022","Março 2022",173403,10456
"05-2022","Maio 2022",173403,10000
"04-2022","Abril 2022",173403,10228
"05-2022","Maio 2022",173403,138
"03-2022","Março 2022",173404,10594
"05-2022","Maio 2022",173404,10000
"04-2022","Abril 2022",173404,10498
"05-2022","Maio 2022",173404,198
"03-2022","Março 2022",175346,10330
"04-2022","Abril 2022",175346,10168
"05-2022","Maio 2022",175346,10024
"06-2022","Junho 2022",175346,126
"03-2022","Março 2022",175348,10192
"05-2022","Maio 2022",175348,10000
"06-2022","Junho 2022",175348,150
"04-2022","Abril 2022",175348,10144
"03-2022","Março 2022",175349,10174
"04-2022","Abril 2022",175349,10120
"05-2022","Maio 2022",175349,10012
"06-2022","Junho 2022",175349,90
"12-2021","Dezembro 2021",165962,20156
"02-2022","Fevereiro 2022",165962,30024
"01-2022","Janeiro 2022",165962,10042
"10-2022","Outubro 2022",240268,156
"03-2022","Março 2022",175448,10000
"04-2022","Abril 2022",175448,10012
"05-2022","Maio 2022",175448,10000
"02-2022","Fevereiro 2022",167164,30048
"03-2022","Março 2022",175215,10042
"05-2022","Maio 2022",175215,10000
"04-2022","Abril 2022",175215,10012
"03-2022","Março 2022",175438,10006
"05-2022","Maio 2022",175438,10000
"04-2022","Abril 2022",175438,10000
"03-2022","Março 2022",175444,10000
"04-2022","Abril 2022",175444,10006
"05-2022","Maio 2022",175444,10012
"02-2022","Fevereiro 2022",167214,30000
"03-2022","Março 2022",175271,10000
"05-2022","Maio 2022",175271,10000
"04-2022","Abril 2022",175271,10000
"12-2021","Dezembro 2021",166003,20030
"12-2021","Dezembro 2021",166003,6
"02-2022","Fevereiro 2022",166003,30000
"01-2022","Janeiro 2022",166003,10006
"03-2022","Março 2022",173628,10036
"05-2022","Maio 2022",173628,10012
"04-2022","Abril 2022",173628,10006
"03-2021","Março 2021",141034,6000
"05-2021","Maio 2021",141034,108
"04-2021","Abril 2021",141034,6000
"12-2021","Dezembro 2021",167203,20000
"01-2022","Janeiro 2022",167203,10006
"02-2022","Fevereiro 2022",167203,30000
"03-2022","Março 2022",175255,10000
"05-2022","Maio 2022",175255,10012
"04-2022","Abril 2022",175255,10000
"12-2021","Dezembro 2021",165656,20426
"02-2022","Fevereiro 2022",165656,30096
"01-2022","Janeiro 2022",165656,10192
"12-2021","Dezembro 2021",166012,20180
"12-2021","Dezembro 2021",166012,12
"02-2022","Fevereiro 2022",166012,30012
"01-2022","Janeiro 2022",166012,10120
"03-2022","Março 2022",173294,10450
"05-2022","Maio 2022",173294,10180
"04-2022","Abril 2022",173294,10324
"03-2022","Março 2022",173638,10210
"05-2022","Maio 2022",173638,10012
"04-2022","Abril 2022",173638,10132
"05-2022","Maio 2022",173638,126
"10-2022","Outubro 2022",240267,160
"12-2021","Dezembro 2021",167125,20000
"01-2022","Janeiro 2022",167125,10006
"02-2022","Fevereiro 2022",167125,30006
"03-2022","Março 2022",175160,10012
"05-2022","Maio 2022",175160,10000
"04-2022","Abril 2022",175160,10000
"12-2021","Dezembro 2021",166035,20102
"02-2022","Fevereiro 2022",166035,30006
"01-2022","Janeiro 2022",166035,10012
"03-2022","Março 2022",173658,10036
"05-2022","Maio 2022",173658,10000
"04-2022","Abril 2022",173658,10024
"05-2022","Maio 2022",173658,30
"12-2021","Dezembro 2021",167129,20000
"01-2022","Janeiro 2022",167129,10006
"02-2022","Fevereiro 2022",167129,30000
"03-2022","Março 2022",175166,10000
"05-2022","Maio 2022",175166,10000
"04-2022","Abril 2022",175166,10000
"12-2021","Dezembro 2021",165790,20186
"02-2022","Fevereiro 2022",165790,30054
"01-2022","Janeiro 2022",165790,10054
"01-2022","Janeiro 2022",167299,10048
"02-2022","Fevereiro 2022",167299,6
"02-2022","Fevereiro 2022",167299,30024
"03-2022","Março 2022",173406,10204
"05-2022","Maio 2022",173406,10150
"04-2022","Abril 2022",173406,10174
"03-2022","Março 2022",175344,10078
"05-2022","Maio 2022",175344,10042
"04-2022","Abril 2022",175344,10054
"03-2022","Março 2022",175383,10024
"05-2022","Maio 2022",175383,10000
"04-2022","Abril 2022",175383,10000
"12-2021","Dezembro 2021",166002,20342
"02-2022","Fevereiro 2022",166002,30060
"01-2022","Janeiro 2022",166002,10090
"03-2022","Março 2022",173627,10264
"05-2022","Maio 2022",173627,10000
"04-2022","Abril 2022",173627,10336
"05-2022","Maio 2022",173627,174
"07-2021","Julho 2021",151315,228
"08-2021","Agosto 2021",151315,54
"12-2021","Dezembro 2021",167205,20036
"01-2022","Janeiro 2022",167205,10012
"02-2022","Fevereiro 2022",167205,30012
"03-2022","Março 2022",175257,10018
"05-2022","Maio 2022",175257,10000
"06-2022","Junho 2022",175257,24
"04-2022","Abril 2022",175257,10012
"12-2021","Dezembro 2021",167218,20024
"02-2022","Fevereiro 2022",167218,30000
"01-2022","Janeiro 2022",167218,10006
"01-2022","Janeiro 2022",167387,10006
"02-2022","Fevereiro 2022",167387,30000
"03-2022","Março 2022",175275,10042
"04-2022","Abril 2022",175275,10006
"05-2022","Maio 2022",175275,10000
"06-2022","Junho 2022",175275,18
"12-2021","Dezembro 2021",167217,20048
"02-2022","Fevereiro 2022",167217,30024
"01-2022","Janeiro 2022",167217,10048
"03-2022","Março 2022",175274,10132
"04-2022","Abril 2022",175274,10084
"05-2022","Maio 2022",175274,10012
"06-2022","Junho 2022",175274,66
"01-2022","Janeiro 2022",167216,10090
"02-2022","Fevereiro 2022",167216,30018
"03-2022","Março 2022",175273,10078
"04-2022","Abril 2022",175273,10036
"05-2022","Maio 2022",175273,10000
"06-2022","Junho 2022",175273,30
"12-2021","Dezembro 2021",167206,20120
"01-2022","Janeiro 2022",167206,10054
"02-2022","Fevereiro 2022",167206,30024
"03-2022","Março 2022",175258,10072
"04-2022","Abril 2022",175258,10036
"05-2022","Maio 2022",175258,10000
"06-2022","Junho 2022",175258,72
"12-2021","Dezembro 2021",167201,20090
"02-2022","Fevereiro 2022",167201,30018
"01-2022","Janeiro 2022",167201,10012
"03-2022","Março 2022",175254,10018
"05-2022","Maio 2022",175254,10000
"04-2022","Abril 2022",175254,10024
"12-2021","Dezembro 2021",167202,20006
"02-2022","Fevereiro 2022",167202,30000
"01-2022","Janeiro 2022",167202,10000
"12-2021","Dezembro 2021",165660,20480
"02-2022","Fevereiro 2022",165660,30096
"01-2022","Janeiro 2022",165660,10132
"12-2021","Dezembro 2021",165662,20210
"02-2022","Fevereiro 2022",165662,30048
"01-2022","Janeiro 2022",165662,10072
"03-2022","Março 2022",173298,10420
"05-2022","Maio 2022",173298,10126
"04-2022","Abril 2022",173298,10288
"03-2022","Março 2022",173300,10168
"05-2022","Maio 2022",173300,10012
"04-2022","Abril 2022",173300,10132
"05-2022","Maio 2022",173300,132
"03-2022","Março 2022",175163,10006
"05-2022","Maio 2022",175163,10000
"04-2022","Abril 2022",175163,10000
"03-2022","Março 2022",175445,10000
"04-2022","Abril 2022",175445,10012
"05-2022","Maio 2022",175445,10000
"02-2022","Fevereiro 2022",167160,30090
"03-2022","Março 2022",175211,10288
"05-2022","Maio 2022",175211,10012
"04-2022","Abril 2022",175211,10114
"06-2022","Junho 2022",175211,30
"03-2022","Março 2022",175437,10012
"05-2022","Maio 2022",175437,10000
"04-2022","Abril 2022",175437,10000
"03-2022","Março 2022",175441,10000
"04-2022","Abril 2022",175441,10006
"05-2022","Maio 2022",175441,10000
"03-2022","Março 2022",174624,10072
