"05-2022","Maio 2022",177505,72
"06-2022","Junho 2022",177505,12
"04-2022","Abril 2022",177508,24
"06-2022","Junho 2022",177508,18
"04-2022","Abril 2022",177511,36
"05-2022","Maio 2022",177511,36
"06-2022","Junho 2022",177511,6
"04-2022","Abril 2022",177514,36
"05-2022","Maio 2022",177514,6
"06-2022","Junho 2022",177514,6
"04-2022","Abril 2022",177517,6
"05-2022","Maio 2022",177517,6
"04-2022","Abril 2022",177520,24
"05-2022","Maio 2022",177520,24
"06-2022","Junho 2022",177520,6
"04-2022","Abril 2022",177523,48
"05-2022","Maio 2022",177523,12
"06-2022","Junho 2022",177523,6
"04-2022","Abril 2022",177526,12
"05-2022","Maio 2022",177526,6
"04-2022","Abril 2022",177529,126
"05-2022","Maio 2022",177529,12
"06-2022","Junho 2022",177529,48
"04-2022","Abril 2022",177532,12
"05-2022","Maio 2022",177532,6
"08-2022","Agosto 2022",177546,6
"04-2022","Abril 2022",177550,24
"04-2022","Abril 2022",177570,30
"05-2022","Maio 2022",177570,12
"04-2022","Abril 2022",177574,132
"05-2022","Maio 2022",177574,36
"06-2022","Junho 2022",177574,12
"04-2022","Abril 2022",177578,12
"05-2022","Maio 2022",177578,6
"04-2022","Abril 2022",177582,66
"05-2022","Maio 2022",177582,6
"06-2022","Junho 2022",177582,6
"04-2022","Abril 2022",177586,66
"05-2022","Maio 2022",177586,30
"06-2022","Junho 2022",177586,24
"04-2022","Abril 2022",177590,6
"05-2022","Maio 2022",177590,12
"04-2022","Abril 2022",177601,6
"04-2022","Abril 2022",177605,36
"05-2022","Maio 2022",177605,18
"04-2022","Abril 2022",177609,18
"05-2022","Maio 2022",177609,12
"08-2022","Agosto 2022",177613,60
"05-2022","Maio 2022",177613,6
"06-2022","Junho 2022",177613,6
"04-2022","Abril 2022",177617,12
"05-2022","Maio 2022",177617,30
"06-2022","Junho 2022",177617,6
"04-2022","Abril 2022",177621,12
"05-2022","Maio 2022",177621,6
"06-2022","Junho 2022",177621,6
"04-2022","Abril 2022",177625,6
"05-2022","Maio 2022",177625,6
"06-2022","Junho 2022",177625,12
"04-2022","Abril 2022",177629,12
"05-2022","Maio 2022",177629,12
"04-2022","Abril 2022",177985,678
"05-2022","Maio 2022",177985,198
"06-2022","Junho 2022",177985,90
"04-2022","Abril 2022",177988,486
"05-2022","Maio 2022",177988,264
"06-2022","Junho 2022",177988,78
"04-2022","Abril 2022",177991,606
"05-2022","Maio 2022",177991,156
"06-2022","Junho 2022",177991,60
"04-2022","Abril 2022",178050,36
"05-2022","Maio 2022",178050,18
"04-2022","Abril 2022",178053,24
"05-2022","Maio 2022",178053,12
"04-2022","Abril 2022",178056,108
"05-2022","Maio 2022",178056,42
"06-2022","Junho 2022",178056,6
"04-2022","Abril 2022",178059,96
"05-2022","Maio 2022",178059,18
"04-2022","Abril 2022",178124,6
"04-2022","Abril 2022",178128,60
"05-2022","Maio 2022",178128,48
"06-2022","Junho 2022",178128,30
"04-2022","Abril 2022",178132,6
"04-2022","Abril 2022",178187,84
"04-2022","Abril 2022",178191,48
"05-2022","Maio 2022",178191,6
"04-2022","Abril 2022",178195,72
"05-2022","Maio 2022",178195,42
"06-2022","Junho 2022",178195,24
"04-2022","Abril 2022",178199,18
"05-2022","Maio 2022",178199,24
"06-2022","Junho 2022",178199,24
"04-2022","Abril 2022",178203,42
"05-2022","Maio 2022",178203,36
"06-2022","Junho 2022",178203,24
"04-2022","Abril 2022",178207,66
"05-2022","Maio 2022",178207,36
"06-2022","Junho 2022",178207,36
"04-2022","Abril 2022",178225,6
"04-2022","Abril 2022",178229,6
"04-2022","Abril 2022",178245,42
"05-2022","Maio 2022",178245,6
"06-2022","Junho 2022",178245,36
"04-2022","Abril 2022",178248,24
"05-2022","Maio 2022",178248,24
"06-2022","Junho 2022",178248,12
"04-2022","Abril 2022",178252,12
"05-2022","Maio 2022",178252,12
"04-2022","Abril 2022",178255,84
"05-2022","Maio 2022",178255,42
"06-2022","Junho 2022",178255,24
"04-2022","Abril 2022",178258,60
"05-2022","Maio 2022",178258,36
"06-2022","Junho 2022",178258,6
"04-2022","Abril 2022",178261,36
"05-2022","Maio 2022",178261,24
"06-2022","Junho 2022",178261,12
"04-2022","Abril 2022",178264,132
"05-2022","Maio 2022",178264,66
"06-2022","Junho 2022",178264,48
"04-2022","Abril 2022",178267,24
"05-2022","Maio 2022",178267,12
"06-2022","Junho 2022",178267,6
"04-2022","Abril 2022",178270,6
"06-2022","Junho 2022",178270,6
"04-2022","Abril 2022",178289,18
"05-2022","Maio 2022",178289,6
"06-2022","Junho 2022",178289,12
"04-2022","Abril 2022",178292,54
"05-2022","Maio 2022",178292,96
"06-2022","Junho 2022",178292,12
"04-2022","Abril 2022",178295,12
"05-2022","Maio 2022",178295,6
"06-2022","Junho 2022",178295,36
"04-2022","Abril 2022",178299,84
"05-2022","Maio 2022",178299,66
"06-2022","Junho 2022",178299,12
"04-2022","Abril 2022",178303,72
"05-2022","Maio 2022",178303,30
"06-2022","Junho 2022",178303,12
"04-2022","Abril 2022",178311,6
"05-2022","Maio 2022",178311,6
"04-2022","Abril 2022",178315,6
"04-2022","Abril 2022",178327,6
"08-2022","Agosto 2022",178331,6
"04-2022","Abril 2022",178335,78
"05-2022","Maio 2022",178335,60
"06-2022","Junho 2022",178335,12
"04-2022","Abril 2022",178338,30
"05-2022","Maio 2022",178338,18
"06-2022","Junho 2022",178338,6
"08-2022","Agosto 2022",178342,696
"05-2022","Maio 2022",178342,180
"06-2022","Junho 2022",178342,30
"04-2022","Abril 2022",178346,108
"05-2022","Maio 2022",178346,18
"06-2022","Junho 2022",178346,6
"04-2022","Abril 2022",178350,168
"05-2022","Maio 2022",178350,78
"06-2022","Junho 2022",178350,18
"04-2022","Abril 2022",178354,30
"05-2022","Maio 2022",178354,24
"04-2022","Abril 2022",178358,42
"04-2022","Abril 2022",178382,42
"05-2022","Maio 2022",178382,18
"06-2022","Junho 2022",178382,6
"04-2022","Abril 2022",178391,108
"05-2022","Maio 2022",178391,30
"06-2022","Junho 2022",178391,42
"04-2022","Abril 2022",178394,108
"05-2022","Maio 2022",178394,30
"06-2022","Junho 2022",178394,24
"04-2022","Abril 2022",178409,24
"04-2022","Abril 2022",178410,60
"05-2022","Maio 2022",178410,12
"04-2022","Abril 2022",178411,24
"05-2022","Maio 2022",178411,18
"04-2022","Abril 2022",178412,24
"05-2022","Maio 2022",178412,12
"04-2022","Abril 2022",178433,24
"04-2022","Abril 2022",178465,12
"04-2022","Abril 2022",178479,144
"04-2022","Abril 2022",178488,168
"04-2022","Abril 2022",178608,72
"05-2022","Maio 2022",178608,18
"06-2022","Junho 2022",178608,12
"04-2022","Abril 2022",178612,48
"05-2022","Maio 2022",178612,24
"04-2022","Abril 2022",178645,72
"05-2022","Maio 2022",178645,120
"06-2022","Junho 2022",178645,6
"04-2022","Abril 2022",178650,6
"05-2022","Maio 2022",178650,18
"06-2022","Junho 2022",178650,6
"04-2022","Abril 2022",178655,6
"05-2022","Maio 2022",178655,18
"06-2022","Junho 2022",178655,6
"04-2022","Abril 2022",178660,330
"05-2022","Maio 2022",178660,222
"06-2022","Junho 2022",178660,30
"04-2022","Abril 2022",178665,102
"05-2022","Maio 2022",178665,186
"06-2022","Junho 2022",178665,24
"04-2022","Abril 2022",178675,402
"05-2022","Maio 2022",178675,72
"06-2022","Junho 2022",178675,24
"04-2022","Abril 2022",178680,150
"05-2022","Maio 2022",178680,54
"06-2022","Junho 2022",178680,12
"04-2022","Abril 2022",178799,24
"06-2022","Junho 2022",178799,24
"04-2022","Abril 2022",178800,6
"04-2022","Abril 2022",178801,24
"06-2022","Junho 2022",178801,24
"04-2022","Abril 2022",178858,54
"05-2022","Maio 2022",178858,54
"06-2022","Junho 2022",178858,30
"04-2022","Abril 2022",178862,42
"05-2022","Maio 2022",178862,24
"06-2022","Junho 2022",178862,6
"04-2022","Abril 2022",178869,6
"04-2022","Abril 2022",178877,12
"05-2022","Maio 2022",178877,6
"04-2022","Abril 2022",178881,6
"05-2022","Maio 2022",178881,12
"06-2022","Junho 2022",178881,12
"04-2022","Abril 2022",178885,24
"05-2022","Maio 2022",178885,6
"06-2022","Junho 2022",178885,12
"04-2022","Abril 2022",178902,12
"05-2022","Maio 2022",178902,24
"06-2022","Junho 2022",178902,18
"04-2022","Abril 2022",178906,24
"05-2022","Maio 2022",178906,12
"06-2022","Junho 2022",178906,12
"04-2022","Abril 2022",178912,72
